amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,inf,100,0.6158697605133057,0.2528,13584.7679,1.3594,0.4227,-0.0205,0.0243,0.0219,0.022,0.044,0.0146,0.022,0.3881,pyc_xmeans,adult_y.zip
2,10,inf,20,0.6090114116668701,0.198,14244.8214,1.5937,0.4069,-0.0138,0.018,0.0146,0.0147,0.0326,0.0095,0.0147,0.3295,pyc_xmeans,adult_y.zip
2,14,1000.0,100,0.8656778335571289,0.1971,11799.377,1.539,0.395,-0.0046,0.0476,0.033,0.0332,0.0863,0.0205,0.0332,0.2706,pyc_xmeans,adult_y.zip
2,14,1000.0,20,0.679201602935791,0.2019,10729.1816,1.599,0.4054,-0.0176,0.0212,0.0165,0.0167,0.0385,0.0106,0.0167,0.3287,pyc_xmeans,adult_y.zip
2,14,100.0,100,0.823826789855957,0.2003,11342.7002,1.5111,0.4003,-0.0113,0.0207,0.0153,0.0154,0.0374,0.0097,0.0154,0.3015,pyc_xmeans,adult_y.zip
2,14,100.0,20,0.6897428035736084,0.3181,8594.0741,1.2723,0.4455,-0.0177,0.024,0.0243,0.0245,0.0436,0.017,0.0245,0.4491,pyc_xmeans,adult_y.zip
2,14,20.0,20,0.6577203273773193,0.1828,11336.2719,1.538,0.3988,-0.0056,0.0292,0.0209,0.0211,0.0529,0.0131,0.0211,0.2876,pyc_xmeans,adult_y.zip
2,14,inf,100,0.6527223587036133,0.2148,10777.7466,1.5522,0.4116,-0.0134,0.0238,0.0191,0.0193,0.0431,0.0124,0.0193,0.3453,pyc_xmeans,adult_y.zip
2,14,inf,20,0.6632938385009766,0.1882,11564.9086,1.5692,0.3971,-0.0014,0.0461,0.0324,0.0325,0.0835,0.0202,0.0325,0.2746,pyc_xmeans,adult_y.zip
2,18,1000.0,100,0.9817774295806884,0.1937,9730.4212,1.5677,0.3939,-0.0057,0.047,0.0318,0.032,0.0851,0.0197,0.032,0.267,pyc_xmeans,adult_y.zip
2,18,1000.0,20,0.8956210613250732,0.1802,9883.9055,1.5984,0.3938,0.0004,0.0497,0.0328,0.0329,0.0901,0.0202,0.0329,0.257,pyc_xmeans,adult_y.zip
2,18,100.0,100,1.0321011543273926,0.1962,9898.0207,1.5041,0.3912,-0.0089,0.0451,0.0302,0.0304,0.0817,0.0186,0.0304,0.2602,pyc_xmeans,adult_y.zip
2,18,100.0,20,0.937297821044922,0.1814,8050.9955,1.4708,0.4148,-0.0026,0.0298,0.0233,0.0235,0.0541,0.0151,0.0235,0.3436,pyc_xmeans,adult_y.zip
2,18,20.0,20,0.7919509410858154,0.2104,8395.504,1.4596,0.4065,-0.0154,0.0219,0.017,0.0173,0.0397,0.011,0.0173,0.3301,pyc_xmeans,adult_y.zip
2,18,inf,100,1.0216960906982422,0.195,9230.2773,1.4586,0.398,-0.0139,0.0356,0.0257,0.0259,0.0645,0.0162,0.0259,0.2962,pyc_xmeans,adult_y.zip
2,18,inf,20,1.11749005317688,0.1914,9990.3308,1.5349,0.3915,-0.0031,0.0557,0.0365,0.0366,0.1009,0.0224,0.0366,0.2523,pyc_xmeans,adult_y.zip
2,22,1000.0,100,1.028252363204956,0.1675,7568.3852,1.3701,0.3977,-0.0012,0.0351,0.0243,0.0245,0.0636,0.0152,0.0245,0.2769,pyc_xmeans,adult_y.zip
2,22,1000.0,20,0.9558184146881104,0.1894,8812.1845,1.5054,0.3888,-0.0033,0.0541,0.0343,0.0345,0.0981,0.021,0.0345,0.2395,pyc_xmeans,adult_y.zip
2,22,100.0,100,1.0084786415100098,0.1683,8370.75,1.5231,0.3933,0.0018,0.0535,0.0345,0.0347,0.0969,0.0212,0.0347,0.2527,pyc_xmeans,adult_y.zip
2,22,100.0,20,0.8731100559234619,0.1735,8617.6051,1.5384,0.3932,0.004,0.051,0.0323,0.0325,0.0924,0.0197,0.0325,0.2485,pyc_xmeans,adult_y.zip
2,22,20.0,20,1.1581876277923584,0.1892,8992.6004,1.499,0.3899,0.0004,0.065,0.0406,0.0408,0.1178,0.0247,0.0408,0.2384,pyc_xmeans,adult_y.zip
2,22,inf,100,0.9730770587921144,0.1831,8791.8126,1.6435,0.3862,-0.0037,0.0517,0.0317,0.0319,0.0936,0.0192,0.0319,0.2274,pyc_xmeans,adult_y.zip
2,22,inf,20,1.0849571228027344,0.1844,8940.6697,1.5771,0.389,-0.0011,0.0589,0.0369,0.0371,0.1068,0.0224,0.0371,0.2369,pyc_xmeans,adult_y.zip
2,2,1000.0,100,0.4406397342681885,0.6995,31442.694,0.506,0.6064,0.0016,0.0,-0.0,0.0,0.0,0.0,0.0,0.7533,pyc_xmeans,adult_y.zip
2,2,1000.0,20,0.3911416530609131,0.2047,5802.1181,1.8622,0.5,-0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.5632,pyc_xmeans,adult_y.zip
2,2,100.0,100,0.4600014686584472,0.2058,5805.0654,1.8761,0.5001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.5632,pyc_xmeans,adult_y.zip
2,2,100.0,20,0.4667651653289795,0.6995,31442.694,0.506,0.6064,0.0016,0.0,-0.0,0.0,0.0,0.0,0.0,0.7533,pyc_xmeans,adult_y.zip
2,2,20.0,20,0.3852503299713135,0.6489,29701.8582,0.7025,0.5883,-0.0147,0.0005,0.0011,0.0011,0.0008,0.0017,0.0011,0.7307,pyc_xmeans,adult_y.zip
2,2,inf,100,0.4504954814910888,0.6995,31442.694,0.506,0.6064,0.0016,0.0,-0.0,0.0,0.0,0.0,0.0,0.7533,pyc_xmeans,adult_y.zip
2,2,inf,20,0.4172358512878418,0.6995,31442.694,0.506,0.6064,0.0016,0.0,-0.0,0.0,0.0,0.0,0.0,0.7533,pyc_xmeans,adult_y.zip
2,6,1000.0,100,0.5622644424438477,0.2836,14315.7459,1.4369,0.4733,-0.0066,0.0029,0.0035,0.0036,0.0052,0.0027,0.0036,0.5088,pyc_xmeans,adult_y.zip
2,6,1000.0,20,0.5175299644470215,0.3068,19367.2474,1.0576,0.4418,-0.0248,0.0149,0.0159,0.016,0.027,0.0114,0.016,0.4455,pyc_xmeans,adult_y.zip
2,6,100.0,100,0.5015957355499268,0.3003,13829.9612,1.0744,0.4764,-0.0,0.0071,0.0089,0.009,0.0129,0.0069,0.009,0.5114,pyc_xmeans,adult_y.zip
2,6,100.0,20,0.5131545066833496,0.2716,20408.1413,1.1756,0.4272,-0.0199,0.015,0.0146,0.0147,0.0272,0.0101,0.0147,0.4009,pyc_xmeans,adult_y.zip
2,6,20.0,20,0.5168673992156982,0.2989,19519.6932,1.1162,0.4385,-0.0247,0.0128,0.0133,0.0134,0.0232,0.0094,0.0134,0.4366,pyc_xmeans,adult_y.zip
2,6,inf,100,0.5384402275085449,0.2516,20229.8573,1.2811,0.429,-0.0106,0.0165,0.0158,0.0158,0.0298,0.0108,0.0158,0.3971,pyc_xmeans,adult_y.zip
2,6,inf,20,0.4523355960845947,0.3074,19499.2522,1.1137,0.4404,-0.0263,0.0145,0.0153,0.0154,0.0262,0.0109,0.0154,0.4431,pyc_xmeans,adult_y.zip
4,10,1000.0,100,0.5790269374847412,0.1805,13828.6582,1.584,0.4164,0.0008,0.0231,0.0189,0.019,0.0418,0.0123,0.019,0.3451,pyc_xmeans,adult_y.zip
4,10,1000.0,20,0.5826776027679443,0.2089,13801.7811,1.578,0.412,-0.0092,0.0194,0.0161,0.0162,0.0352,0.0105,0.0162,0.3418,pyc_xmeans,adult_y.zip
4,10,100.0,100,0.5887348651885986,0.1959,12542.937,1.4151,0.4251,-0.0128,0.0425,0.039,0.0391,0.0769,0.0262,0.0391,0.3878,pyc_xmeans,adult_y.zip
4,10,100.0,20,0.6020543575286865,0.1726,13780.6,1.6453,0.4165,-0.0003,0.0213,0.0173,0.0175,0.0385,0.0113,0.0175,0.3468,pyc_xmeans,adult_y.zip
4,10,20.0,20,0.5887875556945801,0.2613,12923.3875,1.2956,0.4307,-0.0127,0.0232,0.0215,0.0217,0.042,0.0146,0.0217,0.4043,pyc_xmeans,adult_y.zip
4,10,inf,100,0.6983006000518799,0.2551,12756.6627,1.3525,0.4229,-0.0195,0.0212,0.0194,0.0195,0.0384,0.0131,0.0195,0.3876,pyc_xmeans,adult_y.zip
4,10,inf,20,0.6360776424407959,0.2061,14281.558,1.5892,0.4062,-0.0128,0.0238,0.0192,0.0193,0.0432,0.0124,0.0193,0.3256,pyc_xmeans,adult_y.zip
4,14,1000.0,100,0.6845700740814209,0.2098,10828.698,1.4518,0.4032,-0.0112,0.0248,0.0189,0.019,0.0448,0.0121,0.019,0.3125,pyc_xmeans,adult_y.zip
4,14,1000.0,20,0.7081184387207031,0.1978,11573.302,1.4024,0.4033,-0.0051,0.0452,0.0336,0.0337,0.0818,0.0212,0.0337,0.305,pyc_xmeans,adult_y.zip
4,14,100.0,100,0.7895257472991943,0.2151,10635.8588,1.5337,0.4101,-0.0166,0.0194,0.0156,0.0157,0.0352,0.0101,0.0157,0.3437,pyc_xmeans,adult_y.zip
4,14,100.0,20,0.6435573101043701,0.1927,10731.17,1.5752,0.4043,-0.0158,0.0205,0.0158,0.016,0.0372,0.0102,0.016,0.3227,pyc_xmeans,adult_y.zip
4,14,20.0,20,0.7777655124664307,0.2417,9946.2929,1.3688,0.4198,-0.025,0.02,0.0173,0.0174,0.0362,0.0115,0.0174,0.3839,pyc_xmeans,adult_y.zip
4,14,inf,100,0.784306526184082,0.1981,11707.7543,1.5264,0.3951,-0.0061,0.0393,0.0278,0.0279,0.0713,0.0174,0.0279,0.2733,pyc_xmeans,adult_y.zip
