eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.5,5,correlation,auto,4,100.0,100,1.0373823642730713,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,100.0,20,1.029325008392334,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,20.0,20,1.0495858192443848,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,inf,100,1.017629861831665,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,correlation,auto,4,inf,20,1.0343198776245115,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,1000.0,100,1.1920969486236572,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,1000.0,20,1.188276290893555,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,100.0,100,1.1323063373565674,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,100.0,20,1.1276395320892334,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,20.0,20,1.116140365600586,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,inf,100,1.1490848064422607,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,cosine,auto,4,inf,20,1.125077724456787,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,1000.0,100,0.0873329639434814,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,1000.0,20,0.2091283798217773,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,100.0,100,0.087177038192749,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,100.0,20,0.1025609970092773,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,20.0,20,0.0953381061553955,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,inf,100,0.0870959758758544,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.5,5,euclidean,auto,4,inf,20,0.0916478633880615,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,1000.0,100,1.1929819583892822,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,1000.0,20,1.1925599575042725,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,100.0,100,1.2043273448944092,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,100.0,20,1.1998929977416992,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,20.0,20,1.2479760646820068,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,inf,100,1.1896049976348877,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,correlation,auto,4,inf,20,1.189924955368042,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,1000.0,100,1.3711929321289062,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,1000.0,20,1.3656060695648191,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,100.0,100,1.3131835460662842,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,100.0,20,1.3523190021514893,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,20.0,20,1.3363971710205078,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,inf,100,1.3364195823669434,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,cosine,auto,4,inf,20,1.3676385879516602,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,1000.0,100,0.0870366096496582,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,1000.0,20,0.1819806098937988,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,100.0,100,0.087303876876831,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,100.0,20,0.1822898387908935,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,20.0,20,0.0950202941894531,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,inf,100,0.0875701904296875,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,10,euclidean,auto,4,inf,20,0.087343692779541,0.6629,3919.5693,0.2586,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,1000.0,100,1.1906630992889404,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,1000.0,20,1.188163995742798,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,100.0,100,1.1832044124603271,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,100.0,20,1.208444595336914,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,20.0,20,1.2387540340423584,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,inf,100,1.191385269165039,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,correlation,auto,4,inf,20,1.1856329441070557,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,1000.0,100,1.336740016937256,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,1000.0,20,1.350965976715088,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,100.0,100,1.3386425971984863,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,100.0,20,1.3403806686401367,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,20.0,20,1.364919900894165,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,inf,100,1.3429977893829346,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,cosine,auto,4,inf,20,1.3590681552886963,0.0,0.0,0.0,skl_DBSCAN,fico.zip
0.75,2,euclidean,auto,4,1000.0,100,0.1489155292510986,-0.2847,359.9761,1.3289,skl_DBSCAN,fico.zip
