amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,18,100.0,20,0.0284609794616699,0.112,77.7371,1.5193,0.5538,0.1497,0.4917,0.3271,0.3328,0.7447,0.2143,0.3328,0.4041,pyc_xmeans,wdbc_y.zip
12,18,20.0,20,0.024430513381958,0.1271,76.8192,1.4187,0.5646,0.1685,0.4621,0.3191,0.3251,0.6997,0.2117,0.3251,0.4295,pyc_xmeans,wdbc_y.zip
12,18,inf,100,0.0121281147003173,0.1505,79.4096,1.3017,0.6191,0.2661,0.4723,0.3761,0.3817,0.7153,0.2603,0.3817,0.5378,pyc_xmeans,wdbc_y.zip
12,18,inf,20,0.0321156978607177,0.1061,76.93,1.4553,0.5625,0.1654,0.4882,0.3307,0.3365,0.7393,0.2178,0.3365,0.4236,pyc_xmeans,wdbc_y.zip
12,22,1000.0,100,0.0176784992218017,0.1196,85.3383,1.6331,0.5709,0.1804,0.4983,0.3467,0.3514,0.7546,0.229,0.3514,0.442,pyc_xmeans,wdbc_y.zip
12,22,1000.0,20,0.0148696899414062,0.1167,87.3092,1.6236,0.5697,0.1791,0.5146,0.3501,0.3547,0.7793,0.2296,0.3547,0.4379,pyc_xmeans,wdbc_y.zip
12,22,100.0,100,0.019108772277832,0.1213,68.4463,1.3046,0.5692,0.1777,0.5076,0.348,0.3548,0.7687,0.2306,0.3548,0.4378,pyc_xmeans,wdbc_y.zip
12,22,100.0,20,0.0188474655151367,0.1369,84.0448,1.5028,0.5791,0.1956,0.5022,0.3499,0.3551,0.7606,0.2317,0.3551,0.4582,pyc_xmeans,wdbc_y.zip
12,22,20.0,20,0.025416612625122,0.1178,68.7624,1.3824,0.5595,0.1602,0.4854,0.3213,0.328,0.7351,0.2111,0.328,0.4166,pyc_xmeans,wdbc_y.zip
12,22,inf,100,0.0198233127593994,0.1264,75.0844,1.4709,0.5711,0.1805,0.4864,0.3398,0.3457,0.7366,0.2259,0.3457,0.4431,pyc_xmeans,wdbc_y.zip
12,22,inf,20,0.0471203327178955,0.1215,73.0021,1.4082,0.5638,0.1686,0.5108,0.3397,0.3457,0.7735,0.2226,0.3457,0.425,pyc_xmeans,wdbc_y.zip
12,2,1000.0,100,0.0098209381103515,0.1463,86.1759,1.4465,0.5864,0.208,0.4767,0.348,0.3531,0.7219,0.2337,0.3531,0.4742,pyc_xmeans,wdbc_y.zip
12,2,1000.0,20,0.05033540725708,0.1404,84.419,1.5491,0.5798,0.1959,0.462,0.3318,0.3368,0.6997,0.2218,0.3368,0.4615,pyc_xmeans,wdbc_y.zip
12,2,100.0,100,0.0108578205108642,0.1466,85.8937,1.6363,0.5849,0.205,0.4771,0.3446,0.3495,0.7225,0.2305,0.3495,0.4722,pyc_xmeans,wdbc_y.zip
12,2,100.0,20,0.0154967308044433,0.133,89.2282,1.5077,0.5771,0.1916,0.497,0.3542,0.3591,0.7527,0.2358,0.3591,0.4549,pyc_xmeans,wdbc_y.zip
12,2,20.0,20,0.0103876590728759,0.1365,82.6901,1.7171,0.5794,0.1954,0.4841,0.3443,0.3492,0.7332,0.2291,0.3492,0.4601,pyc_xmeans,wdbc_y.zip
12,2,inf,100,0.0097768306732177,0.1303,83.1308,1.3745,0.5968,0.2281,0.5275,0.388,0.3929,0.7988,0.2605,0.3929,0.4927,pyc_xmeans,wdbc_y.zip
12,2,inf,20,0.0102837085723876,0.1192,85.1535,1.4374,0.5797,0.1961,0.5041,0.3626,0.3675,0.7634,0.242,0.3675,0.4603,pyc_xmeans,wdbc_y.zip
12,6,1000.0,100,0.0102820396423339,0.1474,80.5945,1.2985,0.599,0.2298,0.4782,0.3682,0.3736,0.7241,0.2518,0.3736,0.5009,pyc_xmeans,wdbc_y.zip
12,6,1000.0,20,0.0094251632690429,0.1119,79.714,1.6989,0.5736,0.1838,0.468,0.3379,0.343,0.7088,0.2262,0.343,0.4505,pyc_xmeans,wdbc_y.zip
12,6,100.0,100,0.0092842578887939,0.1529,76.055,1.4976,0.6406,0.3052,0.4813,0.3888,0.3942,0.729,0.2702,0.3942,0.5748,pyc_xmeans,wdbc_y.zip
12,6,100.0,20,0.0106217861175537,0.1365,78.6519,1.6741,0.5968,0.2254,0.4754,0.3569,0.362,0.7199,0.2418,0.362,0.4978,pyc_xmeans,wdbc_y.zip
12,6,20.0,20,0.0116691589355468,0.1336,81.1353,1.5492,0.5994,0.2306,0.456,0.3479,0.3533,0.6906,0.2374,0.3533,0.5015,pyc_xmeans,wdbc_y.zip
12,6,inf,100,0.0106306076049804,0.1287,86.7743,1.5634,0.5794,0.1957,0.4831,0.3411,0.3459,0.7316,0.2265,0.3459,0.4598,pyc_xmeans,wdbc_y.zip
12,6,inf,20,0.0089929103851318,0.1329,86.1763,1.7291,0.579,0.195,0.4867,0.3411,0.3459,0.737,0.2259,0.3459,0.4586,pyc_xmeans,wdbc_y.zip
2,10,1000.0,100,0.0241117477416992,0.1306,93.2385,1.3856,0.5815,0.1992,0.4709,0.3493,0.3535,0.7132,0.2349,0.3535,0.4643,pyc_xmeans,wdbc_y.zip
2,10,1000.0,20,0.0239310264587402,0.1132,96.899,1.6264,0.5657,0.1705,0.4694,0.3335,0.3374,0.7109,0.2212,0.3374,0.4317,pyc_xmeans,wdbc_y.zip
2,10,100.0,100,0.0226364135742187,0.1281,96.6493,1.539,0.5694,0.1774,0.4716,0.3369,0.3409,0.7143,0.2239,0.3409,0.4392,pyc_xmeans,wdbc_y.zip
2,10,100.0,20,0.0198607444763183,0.1422,104.647,1.5342,0.5914,0.2171,0.4609,0.348,0.3517,0.698,0.2351,0.3517,0.4841,pyc_xmeans,wdbc_y.zip
