n_clusters,metric,linkage,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
6,correlation,average,inf,20,3.022085666656494,0.0259,609.6469,2.4001,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,complete,1000.0,20,2.792630434036255,-0.0596,344.0992,3.1521,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,complete,100.0,20,2.754826784133911,-0.0596,344.0992,3.1521,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,complete,inf,20,2.76246190071106,-0.0596,344.0992,3.1521,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,single,1000.0,20,1.153578758239746,-0.3271,0.4479,1.6912,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,single,100.0,20,1.1531846523284912,-0.3271,0.4479,1.6912,skl_agglomerativeClust,ficoONEHOT.zip
6,correlation,single,inf,20,1.148115158081055,-0.3271,0.4479,1.6912,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,average,1000.0,20,2.9936039447784424,0.0652,1170.5259,2.462,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,average,100.0,20,2.982484579086304,0.0652,1170.5259,2.462,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,average,inf,20,2.987509727478028,0.0652,1170.5259,2.462,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,complete,1000.0,20,2.806016445159912,-0.0355,475.3027,2.7581,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,complete,100.0,20,2.782209873199463,-0.0355,475.3027,2.7581,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,complete,inf,20,2.794549465179444,-0.0355,475.3027,2.7581,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,single,1000.0,20,1.1646089553833008,-0.1953,1594.7549,1.3677,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,single,100.0,20,1.1517632007598877,-0.1953,1594.7549,1.3677,skl_agglomerativeClust,ficoONEHOT.zip
6,cosine,single,inf,20,1.1547977924346924,-0.1953,1594.7549,1.3677,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,average,1000.0,20,3.2284412384033203,0.6024,1719.2964,0.4194,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,average,100.0,20,3.227987766265869,0.6024,1719.2964,0.4194,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,average,inf,20,3.22741174697876,0.6024,1719.2964,0.4194,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,complete,1000.0,20,3.073081493377685,0.2277,1820.665,1.1054,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,complete,100.0,20,3.0702948570251465,0.2277,1820.665,1.1054,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,complete,inf,20,3.0668513774871826,0.2277,1820.665,1.1054,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,single,1000.0,20,1.686298370361328,0.6074,1657.2353,0.2103,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,single,100.0,20,1.6356754302978516,0.6074,1657.2353,0.2103,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,single,inf,20,1.6459009647369385,0.6074,1657.2353,0.2103,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,ward,1000.0,20,3.143116950988769,0.1236,2491.6529,2.1278,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,ward,100.0,20,3.135404109954834,0.1236,2491.6529,2.1278,skl_agglomerativeClust,ficoONEHOT.zip
6,euclidean,ward,inf,20,3.1374351978302,0.1236,2491.6529,2.1278,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,average,1000.0,20,3.0235538482666016,0.0862,1106.237,2.1378,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,average,100.0,20,3.0420589447021484,0.0862,1106.237,2.1378,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,average,inf,20,3.0303542613983154,0.0862,1106.237,2.1378,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,complete,1000.0,20,2.767050743103028,-0.0059,725.9661,2.879,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,complete,100.0,20,2.746400594711304,-0.0059,725.9661,2.879,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,complete,inf,20,2.777626037597656,-0.0059,725.9661,2.879,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,single,1000.0,20,1.143070936203003,-0.3443,0.3959,1.7012,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,single,100.0,20,1.1427714824676514,-0.3443,0.3959,1.7012,skl_agglomerativeClust,ficoONEHOT.zip
8,correlation,single,inf,20,1.142920970916748,-0.3443,0.3959,1.7012,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,average,1000.0,20,2.984281301498413,0.0462,1761.6393,2.275,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,average,100.0,20,2.9983372688293457,0.0462,1761.6393,2.275,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,average,inf,20,2.981920003890991,0.0462,1761.6393,2.275,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,complete,1000.0,20,2.798304557800293,0.021,830.4509,2.852,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,complete,100.0,20,2.794994115829468,0.021,830.4509,2.852,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,complete,inf,20,2.7991127967834477,0.021,830.4509,2.852,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,single,1000.0,20,1.1451818943023682,-0.2046,1139.1377,1.3788,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,single,100.0,20,1.1455368995666504,-0.2046,1139.1377,1.3788,skl_agglomerativeClust,ficoONEHOT.zip
8,cosine,single,inf,20,1.1445605754852295,-0.2046,1139.1377,1.3788,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,average,1000.0,20,3.216371297836304,0.5646,1245.0532,0.5638,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,average,100.0,20,3.2380242347717285,0.5646,1245.0532,0.5638,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,average,inf,20,3.231251716613769,0.5646,1245.0532,0.5638,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,complete,1000.0,20,3.0850210189819336,0.1928,1476.7703,1.2095,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,complete,100.0,20,3.0802698135375977,0.1928,1476.7703,1.2095,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,complete,inf,20,3.0668392181396484,0.1928,1476.7703,1.2095,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,single,1000.0,20,1.637714385986328,0.5916,1190.0245,0.2265,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,single,100.0,20,1.6415274143218994,0.5916,1190.0245,0.2265,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,single,inf,20,1.638333797454834,0.5916,1190.0245,0.2265,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,ward,1000.0,20,3.1636617183685303,0.1251,2052.9844,2.0053,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,ward,100.0,20,3.1424880027771,0.1251,2052.9844,2.0053,skl_agglomerativeClust,ficoONEHOT.zip
8,euclidean,ward,inf,20,3.131593942642212,0.1251,2052.9844,2.0053,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,average,1000.0,20,3.050119638442993,0.075,917.4811,2.1457,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,average,100.0,20,3.043938398361206,0.075,917.4811,2.1457,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,average,inf,20,3.0256898403167725,0.075,917.4811,2.1457,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,complete,1000.0,20,2.7908945083618164,-0.0019,616.7772,3.0993,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,complete,100.0,20,2.7551043033599854,-0.0019,616.7772,3.0993,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,complete,inf,20,2.761049509048462,-0.0019,616.7772,3.0993,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,single,1000.0,20,1.1442453861236572,-0.3593,0.3404,1.8806,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,single,100.0,20,1.1464545726776123,-0.3593,0.3404,1.8806,skl_agglomerativeClust,ficoONEHOT.zip
10,correlation,single,inf,20,1.148130178451538,-0.3593,0.3404,1.8806,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,average,1000.0,20,2.996527194976806,0.0551,1526.1742,2.1534,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,average,100.0,20,3.000338554382324,0.0551,1526.1742,2.1534,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,average,inf,20,2.989126920700073,0.0551,1526.1742,2.1534,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,complete,1000.0,20,2.816333055496216,0.0123,670.3021,3.1218,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,complete,100.0,20,2.799654722213745,0.0123,670.3021,3.1218,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,complete,inf,20,2.7810561656951904,0.0123,670.3021,3.1218,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,single,1000.0,20,1.16117525100708,-0.2072,886.1985,1.3031,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,single,100.0,20,1.1502268314361572,-0.2072,886.1985,1.3031,skl_agglomerativeClust,ficoONEHOT.zip
10,cosine,single,inf,20,1.1496007442474363,-0.2072,886.1985,1.3031,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,average,1000.0,20,3.2268898487091064,0.5567,970.3446,0.4788,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,average,100.0,20,3.229785919189453,0.5567,970.3446,0.4788,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,average,inf,20,3.2255501747131348,0.5567,970.3446,0.4788,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,complete,1000.0,20,3.0624732971191406,0.1911,1175.6108,1.1505,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,complete,100.0,20,3.075901985168457,0.1911,1175.6108,1.1505,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,complete,inf,20,3.0680885314941406,0.1911,1175.6108,1.1505,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,single,1000.0,20,1.6454665660858154,0.4799,929.6904,0.2581,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,single,100.0,20,1.636861801147461,0.4799,929.6904,0.2581,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,single,inf,20,1.6451592445373535,0.4799,929.6904,0.2581,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,ward,1000.0,20,3.1525416374206543,0.1108,1769.6917,2.1882,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,ward,100.0,20,3.126308917999268,0.1108,1769.6917,2.1882,skl_agglomerativeClust,ficoONEHOT.zip
10,euclidean,ward,inf,20,3.138656616210937,0.1108,1769.6917,2.1882,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,average,1000.0,20,3.016233444213867,0.0584,827.7531,2.2619,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,average,100.0,20,3.0489420890808105,0.0584,827.7531,2.2619,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,average,inf,20,3.043245315551758,0.0584,827.7531,2.2619,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,complete,1000.0,20,2.7611727714538574,-0.0052,529.7862,3.1868,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,complete,100.0,20,2.7501957416534424,-0.0052,529.7862,3.1868,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,complete,inf,20,2.771193027496338,-0.0052,529.7862,3.1868,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,single,1000.0,20,1.1424338817596436,-0.3642,0.3035,1.9566,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,single,100.0,20,1.1420440673828125,-0.3642,0.3035,1.9566,skl_agglomerativeClust,ficoONEHOT.zip
12,correlation,single,inf,20,1.1408298015594482,-0.3642,0.3035,1.9566,skl_agglomerativeClust,ficoONEHOT.zip
