amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,18,inf,20,0.154315710067749,0.1425,687.4491,1.7404,pyc_xmeans,wine.zip
2,22,1000.0,100,0.2310857772827148,0.1336,606.3919,1.7698,pyc_xmeans,wine.zip
2,22,1000.0,20,0.1407954692840576,0.1431,592.8431,1.7238,pyc_xmeans,wine.zip
2,22,20.0,20,0.1564669609069824,0.1337,592.1823,1.6966,pyc_xmeans,wine.zip
2,22,inf,100,0.142963171005249,0.1399,602.467,1.7465,pyc_xmeans,wine.zip
2,22,inf,20,0.22514009475708,0.1406,609.8252,1.7505,pyc_xmeans,wine.zip
2,2,1000.0,100,0.1173789501190185,0.205,1754.9909,1.8129,pyc_xmeans,wine.zip
2,2,1000.0,20,0.0601141452789306,0.2049,1755.0431,1.8128,pyc_xmeans,wine.zip
2,2,20.0,20,0.0573084354400634,0.2048,1753.4075,1.8137,pyc_xmeans,wine.zip
2,2,inf,100,0.0690155029296875,0.2358,1707.5124,1.7215,pyc_xmeans,wine.zip
2,2,inf,20,0.0918219089508056,0.2363,1707.4964,1.7197,pyc_xmeans,wine.zip
2,6,1000.0,100,0.0941569805145263,0.1741,1253.2885,1.7087,pyc_xmeans,wine.zip
2,6,1000.0,20,0.1368088722229004,0.1745,1253.2142,1.7112,pyc_xmeans,wine.zip
2,6,20.0,20,0.1145529747009277,0.1459,1076.8235,1.7471,pyc_xmeans,wine.zip
2,6,inf,100,0.0859360694885253,0.1804,1211.0578,1.675,pyc_xmeans,wine.zip
2,6,inf,20,0.0999510288238525,0.174,1253.1547,1.7124,pyc_xmeans,wine.zip
4,10,1000.0,100,0.0943284034729003,0.1777,877.224,1.4065,pyc_xmeans,wine.zip
4,10,1000.0,20,0.1560614109039306,0.1618,911.9745,1.546,pyc_xmeans,wine.zip
4,10,20.0,20,0.0923640727996826,0.1572,963.2063,1.6729,pyc_xmeans,wine.zip
4,10,inf,100,0.125251293182373,0.1572,935.4803,1.7352,pyc_xmeans,wine.zip
4,10,inf,20,0.1170136928558349,0.1735,951.5512,1.598,pyc_xmeans,wine.zip
4,14,1000.0,100,0.1265645027160644,0.148,793.313,1.7473,pyc_xmeans,wine.zip
4,14,1000.0,20,0.1075022220611572,0.1506,767.2354,1.7402,pyc_xmeans,wine.zip
4,14,20.0,20,0.2047872543334961,0.1509,792.2166,1.7243,pyc_xmeans,wine.zip
4,14,inf,100,0.1610157489776611,0.1466,781.6603,1.841,pyc_xmeans,wine.zip
4,14,inf,20,0.1252930164337158,0.1496,768.2407,1.6667,pyc_xmeans,wine.zip
4,18,1000.0,100,0.2214136123657226,0.1409,652.3333,1.6813,pyc_xmeans,wine.zip
4,18,1000.0,20,0.1277964115142822,0.148,657.7661,1.5242,pyc_xmeans,wine.zip
4,18,20.0,20,0.1775095462799072,0.1361,646.4175,1.8479,pyc_xmeans,wine.zip
4,18,inf,100,0.1516969203948974,0.1468,685.6384,1.7243,pyc_xmeans,wine.zip
4,18,inf,20,0.2102408409118652,0.143,660.0864,1.7182,pyc_xmeans,wine.zip
4,22,1000.0,100,0.1428687572479248,0.1336,589.6216,1.7921,pyc_xmeans,wine.zip
4,22,1000.0,20,0.2236557006835937,0.1432,592.5989,1.5924,pyc_xmeans,wine.zip
4,22,20.0,20,0.1783084869384765,0.1405,584.3862,1.7246,pyc_xmeans,wine.zip
4,22,inf,100,0.14471435546875,0.1391,600.345,1.7808,pyc_xmeans,wine.zip
4,22,inf,20,0.169480562210083,0.1388,588.0853,1.7626,pyc_xmeans,wine.zip
4,2,1000.0,100,0.0549123287200927,0.2192,1476.5427,1.5942,pyc_xmeans,wine.zip
4,2,1000.0,20,0.1123580932617187,0.1779,1463.0948,1.6503,pyc_xmeans,wine.zip
4,2,20.0,20,0.1083331108093261,0.2147,810.4257,1.3018,pyc_xmeans,wine.zip
4,2,inf,100,0.0534131526947021,0.219,1476.1917,1.6009,pyc_xmeans,wine.zip
4,2,inf,20,0.0530011653900146,0.218,1477.0331,1.6047,pyc_xmeans,wine.zip
4,6,1000.0,100,0.1302399635314941,0.1988,1217.0711,1.4446,pyc_xmeans,wine.zip
4,6,1000.0,20,0.0895328521728515,0.2083,1194.518,1.4151,pyc_xmeans,wine.zip
4,6,20.0,20,0.0814964771270752,0.2069,1185.7959,1.4877,pyc_xmeans,wine.zip
4,6,inf,100,0.1249067783355712,0.174,1253.0701,1.7096,pyc_xmeans,wine.zip
4,6,inf,20,0.0888898372650146,0.1666,1110.3959,1.559,pyc_xmeans,wine.zip
6,10,1000.0,100,0.1040906906127929,0.1537,889.0578,1.6079,pyc_xmeans,wine.zip
6,10,1000.0,20,0.1118440628051757,0.1746,912.1096,1.5557,pyc_xmeans,wine.zip
6,10,20.0,20,0.0925908088684082,0.1695,957.8251,1.6833,pyc_xmeans,wine.zip
6,10,inf,100,0.1500210762023925,0.1637,911.6834,1.6274,pyc_xmeans,wine.zip
6,10,inf,20,0.1041867733001709,0.1413,909.1138,1.7778,pyc_xmeans,wine.zip
6,14,1000.0,100,0.1797945499420166,0.1506,773.3268,1.7203,pyc_xmeans,wine.zip
6,14,1000.0,20,0.1241176128387451,0.1468,771.404,1.8031,pyc_xmeans,wine.zip
6,14,20.0,20,0.1845560073852539,0.1574,784.6579,1.6284,pyc_xmeans,wine.zip
6,14,inf,100,0.1066620349884033,0.1564,747.4014,1.7565,pyc_xmeans,wine.zip
6,14,inf,20,0.1608369350433349,0.1447,789.5291,1.761,pyc_xmeans,wine.zip
6,18,1000.0,100,0.137404203414917,0.1504,680.6216,1.714,pyc_xmeans,wine.zip
6,18,1000.0,20,0.1819474697113037,0.1383,683.0204,1.7682,pyc_xmeans,wine.zip
6,18,20.0,20,0.1106941699981689,0.1356,646.5413,1.6493,pyc_xmeans,wine.zip
