n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
4,6,IMM,100.0,100,0.1342945098876953,0.1691,1122.9063,1.9085,ExKMC,wine.zip
4,6,IMM,100.0,20,0.0495984554290771,0.1685,1119.6231,1.9131,ExKMC,wine.zip
4,6,IMM,inf,100,0.1422858238220214,0.1685,1119.6231,1.9131,ExKMC,wine.zip
4,6,IMM,inf,20,0.0489382743835449,0.1685,1119.6231,1.9131,ExKMC,wine.zip
4,6,NONE,1000.0,100,0.08805513381958,0.1939,1238.8134,1.7935,ExKMC,wine.zip
4,6,NONE,1000.0,20,0.1614844799041748,0.1939,1238.8134,1.7935,ExKMC,wine.zip
4,6,NONE,100.0,100,0.1479318141937255,0.1935,1233.4198,1.7983,ExKMC,wine.zip
4,6,NONE,100.0,20,0.0854303836822509,0.1939,1238.8134,1.7935,ExKMC,wine.zip
4,6,NONE,inf,100,0.1490302085876464,0.1939,1238.8134,1.7935,ExKMC,wine.zip
4,6,NONE,inf,20,0.0746698379516601,0.1939,1238.8134,1.7935,ExKMC,wine.zip
4,8,IMM,1000.0,100,0.0563321113586425,0.1827,1213.5066,1.7539,ExKMC,wine.zip
4,8,IMM,1000.0,20,0.0563480854034423,0.1827,1213.5066,1.7539,ExKMC,wine.zip
4,8,IMM,100.0,100,0.1408095359802246,0.1826,1209.6891,1.7526,ExKMC,wine.zip
4,8,IMM,100.0,20,0.1424286365509033,0.1827,1213.5066,1.7539,ExKMC,wine.zip
4,8,IMM,inf,100,0.0563130378723144,0.1827,1213.5066,1.7539,ExKMC,wine.zip
4,8,IMM,inf,20,0.0564191341400146,0.1827,1213.5066,1.7539,ExKMC,wine.zip
4,8,NONE,1000.0,100,0.1779427528381347,0.1948,1271.3694,1.7398,ExKMC,wine.zip
4,8,NONE,1000.0,20,0.1717264652252197,0.1948,1271.3694,1.7398,ExKMC,wine.zip
4,8,NONE,100.0,100,0.1830732822418213,0.1943,1265.0648,1.745,ExKMC,wine.zip
4,8,NONE,100.0,20,0.1797966957092285,0.1948,1271.3694,1.7398,ExKMC,wine.zip
4,8,NONE,inf,100,0.1596660614013672,0.1948,1271.3694,1.7398,ExKMC,wine.zip
4,8,NONE,inf,20,0.1542041301727295,0.1948,1271.3694,1.7398,ExKMC,wine.zip
6,10,IMM,1000.0,100,0.1344413757324218,0.1639,1075.7209,1.7644,ExKMC,wine.zip
6,10,IMM,1000.0,20,0.0498285293579101,0.1639,1075.7209,1.7644,ExKMC,wine.zip
6,10,IMM,100.0,100,0.1373984813690185,0.1536,1070.2242,1.7969,ExKMC,wine.zip
6,10,IMM,100.0,20,0.1357059478759765,0.1639,1075.7209,1.7644,ExKMC,wine.zip
6,10,IMM,inf,100,0.1346228122711181,0.1639,1075.7209,1.7644,ExKMC,wine.zip
6,10,IMM,inf,20,0.0499138832092285,0.1639,1075.7209,1.7644,ExKMC,wine.zip
6,10,NONE,1000.0,100,0.1588594913482666,0.1656,1082.9716,1.7413,ExKMC,wine.zip
6,10,NONE,1000.0,20,0.0902040004730224,0.1656,1082.9716,1.7413,ExKMC,wine.zip
6,10,NONE,100.0,100,0.1748244762420654,0.1363,984.5216,1.7975,ExKMC,wine.zip
6,10,NONE,100.0,20,0.0849263668060302,0.1656,1082.9716,1.7413,ExKMC,wine.zip
6,10,NONE,inf,100,0.1743769645690918,0.1656,1082.9716,1.7413,ExKMC,wine.zip
6,10,NONE,inf,20,0.1635506153106689,0.1656,1082.9716,1.7413,ExKMC,wine.zip
6,12,IMM,1000.0,100,0.052790880203247,0.1641,1087.6015,1.731,ExKMC,wine.zip
6,12,IMM,1000.0,20,0.1383223533630371,0.1641,1087.6015,1.731,ExKMC,wine.zip
6,12,IMM,100.0,100,0.1427638530731201,0.1571,1091.5834,1.7691,ExKMC,wine.zip
6,12,IMM,100.0,20,0.0532195568084716,0.1641,1087.6015,1.731,ExKMC,wine.zip
6,12,IMM,inf,100,0.0527052879333496,0.1641,1087.6015,1.731,ExKMC,wine.zip
6,12,IMM,inf,20,0.142338752746582,0.1641,1087.6015,1.731,ExKMC,wine.zip
6,12,NONE,1000.0,100,0.1739270687103271,0.166,1098.816,1.7205,ExKMC,wine.zip
6,12,NONE,1000.0,20,0.1739594936370849,0.166,1098.816,1.7205,ExKMC,wine.zip
6,12,NONE,100.0,100,0.1969997882843017,0.144,1012.2292,1.7101,ExKMC,wine.zip
6,12,NONE,100.0,20,0.1000692844390869,0.166,1098.816,1.7205,ExKMC,wine.zip
6,12,NONE,inf,100,0.1641762256622314,0.166,1098.816,1.7205,ExKMC,wine.zip
6,12,NONE,inf,20,0.1742568016052246,0.166,1098.816,1.7205,ExKMC,wine.zip
6,6,IMM,1000.0,100,0.1150331497192382,0.1496,954.5868,1.8883,ExKMC,wine.zip
6,6,IMM,1000.0,20,0.0748648643493652,0.1496,954.5868,1.8883,ExKMC,wine.zip
6,6,IMM,100.0,100,0.1171793937683105,0.1341,915.1185,1.9227,ExKMC,wine.zip
6,6,IMM,100.0,20,0.0281524658203125,0.1496,954.5868,1.8883,ExKMC,wine.zip
6,6,IMM,inf,100,0.028489351272583,0.1496,954.5868,1.8883,ExKMC,wine.zip
6,6,IMM,inf,20,0.0282611846923828,0.1496,954.5868,1.8883,ExKMC,wine.zip
6,6,NONE,1000.0,100,0.168548583984375,0.1469,928.9168,1.9735,ExKMC,wine.zip
6,6,NONE,1000.0,20,0.1734077930450439,0.1469,928.9168,1.9735,ExKMC,wine.zip
6,6,NONE,100.0,100,0.167386770248413,0.109,843.2803,1.9192,ExKMC,wine.zip
6,6,NONE,100.0,20,0.1616342067718505,0.1469,928.9168,1.9735,ExKMC,wine.zip
6,6,NONE,inf,100,0.1588528156280517,0.1469,928.9168,1.9735,ExKMC,wine.zip
6,6,NONE,inf,20,0.1698684692382812,0.1469,928.9168,1.9735,ExKMC,wine.zip
6,8,IMM,1000.0,100,0.0476629734039306,0.1588,1043.2347,1.7962,ExKMC,wine.zip
6,8,IMM,1000.0,20,0.1338133811950683,0.1588,1043.2347,1.7962,ExKMC,wine.zip
6,8,IMM,100.0,100,0.1337013244628906,0.1448,1004.0606,1.785,ExKMC,wine.zip
6,8,IMM,100.0,20,0.0476560592651367,0.1588,1043.2347,1.7962,ExKMC,wine.zip
6,8,IMM,inf,100,0.1335577964782714,0.1588,1043.2347,1.7962,ExKMC,wine.zip
6,8,IMM,inf,20,0.1336281299591064,0.1588,1043.2347,1.7962,ExKMC,wine.zip
6,8,NONE,1000.0,100,0.1652348041534423,0.1595,1047.5761,1.7924,ExKMC,wine.zip
6,8,NONE,1000.0,20,0.1658911705017089,0.1595,1047.5761,1.7924,ExKMC,wine.zip
6,8,NONE,100.0,100,0.1646859645843505,0.1289,943.491,1.8148,ExKMC,wine.zip
6,8,NONE,100.0,20,0.1567466259002685,0.1595,1047.5761,1.7924,ExKMC,wine.zip
6,8,NONE,inf,100,0.1750938892364502,0.1595,1047.5761,1.7924,ExKMC,wine.zip
6,8,NONE,inf,20,0.0818686485290527,0.1595,1047.5761,1.7924,ExKMC,wine.zip
8,10,IMM,1000.0,100,0.1442372798919677,0.1521,948.1532,1.7429,ExKMC,wine.zip
8,10,IMM,1000.0,20,0.0575065612792968,0.1521,948.1532,1.7429,ExKMC,wine.zip
8,10,IMM,100.0,100,0.0499014854431152,0.1197,874.3381,2.0664,ExKMC,wine.zip
8,10,IMM,100.0,20,0.0571210384368896,0.1521,948.1532,1.7429,ExKMC,wine.zip
8,10,IMM,inf,100,0.1411647796630859,0.1521,948.1532,1.7429,ExKMC,wine.zip
8,10,IMM,inf,20,0.0570282936096191,0.1521,948.1532,1.7429,ExKMC,wine.zip
8,10,NONE,1000.0,100,0.1663775444030761,0.1495,922.916,1.7108,ExKMC,wine.zip
8,10,NONE,1000.0,20,0.1705107688903808,0.1495,922.916,1.7108,ExKMC,wine.zip
8,10,NONE,100.0,100,0.1841187477111816,0.1365,943.4402,1.9108,ExKMC,wine.zip
8,10,NONE,100.0,20,0.0876219272613525,0.1495,922.916,1.7108,ExKMC,wine.zip
8,10,NONE,inf,100,0.1663756370544433,0.1495,922.916,1.7108,ExKMC,wine.zip
8,10,NONE,inf,20,0.1136820316314697,0.1495,922.916,1.7108,ExKMC,wine.zip
8,12,IMM,1000.0,100,0.1477758884429931,0.1554,967.0454,1.7121,ExKMC,wine.zip
8,12,IMM,1000.0,20,0.062220811843872,0.1554,967.0454,1.7121,ExKMC,wine.zip
8,12,IMM,100.0,100,0.0533180236816406,0.1264,904.9235,2.0341,ExKMC,wine.zip
8,12,IMM,100.0,20,0.0615818500518798,0.1554,967.0454,1.7121,ExKMC,wine.zip
8,12,IMM,inf,100,0.1522884368896484,0.1554,967.0454,1.7121,ExKMC,wine.zip
8,12,IMM,inf,20,0.1827805042266845,0.1554,967.0454,1.7121,ExKMC,wine.zip
8,12,NONE,1000.0,100,0.0947949886322021,0.1567,967.5292,1.6848,ExKMC,wine.zip
8,12,NONE,1000.0,20,0.1703541278839111,0.1567,967.5292,1.6848,ExKMC,wine.zip
8,12,NONE,100.0,100,0.0995726585388183,0.1134,858.2887,2.0595,ExKMC,wine.zip
8,12,NONE,100.0,20,0.0946898460388183,0.1567,967.5292,1.6848,ExKMC,wine.zip
8,12,NONE,inf,100,0.1837186813354492,0.1567,967.5292,1.6848,ExKMC,wine.zip
8,12,NONE,inf,20,0.1702663898468017,0.1567,967.5292,1.6848,ExKMC,wine.zip
8,8,IMM,1000.0,100,0.132786750793457,0.1353,847.6277,1.7834,ExKMC,wine.zip
8,8,IMM,1000.0,20,0.1263337135314941,0.1353,847.6277,1.7834,ExKMC,wine.zip
8,8,IMM,100.0,100,0.1258149147033691,0.1007,784.7318,2.1692,ExKMC,wine.zip
8,8,IMM,100.0,20,0.0800940990447998,0.1353,847.6277,1.7834,ExKMC,wine.zip
8,8,IMM,inf,100,0.1271305084228515,0.1353,847.6277,1.7834,ExKMC,wine.zip
8,8,IMM,inf,20,0.126624584197998,0.1353,847.6277,1.7834,ExKMC,wine.zip
8,8,NONE,1000.0,100,0.1673617362976074,0.1389,952.2597,1.9443,ExKMC,wine.zip
8,8,NONE,1000.0,20,0.1774744987487793,0.1389,952.2597,1.9443,ExKMC,wine.zip
8,8,NONE,100.0,100,0.0897028446197509,0.119,846.6643,1.9871,ExKMC,wine.zip
8,8,NONE,100.0,20,0.1632492542266845,0.1389,952.2597,1.9443,ExKMC,wine.zip
8,8,NONE,inf,100,0.0872511863708496,0.1389,952.2597,1.9443,ExKMC,wine.zip
8,8,NONE,inf,20,0.0826184749603271,0.1389,952.2597,1.9443,ExKMC,wine.zip
