max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
2,2,30,5,20,20,0.1,42,1,False,5,5.816412448883057,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,2,False,0,5.8730223178863525,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,2,False,1,5.913301229476929,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,2,False,2,5.815849542617798,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,2,False,5,5.912669658660889,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,3,False,0,6.148173093795776,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,3,False,1,6.14669394493103,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,3,False,2,6.158762693405151,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.1,42,3,False,5,6.160679578781128,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,1,False,0,5.497845649719238,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,1,False,1,5.572325706481934,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,1,False,2,5.717027187347412,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,1,False,5,5.658025979995728,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,2,False,0,5.87133002281189,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,2,False,1,5.998187065124512,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,2,False,2,5.84976053237915,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,2,False,5,5.885258436203003,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,3,False,0,6.314672946929932,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,3,False,1,6.337503671646118,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,3,False,2,6.009727478027344,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,30,5,20,20,0.2,42,3,False,5,6.155671834945679,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,1,False,0,5.62938404083252,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,1,False,1,5.786691188812256,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,1,False,2,5.542729377746582,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,1,False,5,5.5599141120910645,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,2,False,0,5.790089845657349,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,2,False,1,5.702234268188477,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,2,False,2,5.838859796524048,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,2,False,5,5.864479064941406,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,3,False,0,6.139578580856323,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,3,False,1,6.318050861358643,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,3,False,2,6.166046380996704,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.0,42,3,False,5,6.334055185317993,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,1,False,0,5.634090900421143,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,1,False,1,5.784358263015747,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,1,False,2,5.771268129348755,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,1,False,5,5.544590711593628,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,2,False,0,5.961992025375366,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,2,False,1,5.903176784515381,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,2,False,2,5.949808359146118,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,2,False,5,5.959901332855225,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,3,False,0,6.15901780128479,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,3,False,1,6.32627534866333,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,3,False,2,6.183104038238525,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.1,42,3,False,5,6.260725259780884,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,1,False,0,5.709810495376587,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,1,False,1,5.681581497192383,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,1,False,2,5.624402284622192,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,1,False,5,5.657615423202515,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,2,False,0,6.070964097976685,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,2,False,1,6.012211799621582,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,2,False,2,6.000011444091797,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,2,False,5,6.062938690185547,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,3,False,0,6.074703216552734,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,3,False,1,6.364148616790772,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,3,False,2,6.228676080703735,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,50,20,20,0.2,42,3,False,5,5.997458219528198,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,1,False,0,5.825515270233154,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,1,False,1,5.5556347370147705,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,1,False,2,5.770354509353638,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,1,False,5,5.7795374393463135,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,2,False,0,5.72370982170105,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,2,False,1,5.874884843826294,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,2,False,2,5.891183853149414,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,2,False,5,5.778918266296387,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,3,False,0,5.976403713226318,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,3,False,1,6.336727857589722,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,3,False,2,6.068418502807617,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.0,42,3,False,5,6.343180894851685,0.493,15940.1586,1.1461,PrincipalParTree,bank.zip
2,2,3,5,20,20,0.1,42,1,False,0,5.643276929855347,0.1439,9908.7322,2.4143,PrincipalParTree,bank.zip
