max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,12,3,50,1000.0,100.0,0.0,42,cos,jaccard,117.31948971748352,0.1647,344.9153,1.4784,CenterParTree2,wine.zip
10,12,3,50,1000.0,100.0,0.1,42,cos,jaccard,396.3500573635101,-0.158,139.2917,2.6651,CenterParTree2,wine.zip
10,12,3,50,1000.0,100.0,0.2,42,cos,jaccard,265.81773948669434,-0.0073,339.6102,3.2405,CenterParTree2,wine.zip
10,12,3,50,1000.0,20.0,0.1,42,cos,jaccard,368.95041823387146,0.0129,14.0742,0.6152,CenterParTree2,wine.zip
10,12,3,50,1000.0,20.0,0.2,42,cos,jaccard,373.5100235939026,-0.1859,46.2378,0.7946,CenterParTree2,wine.zip
10,12,3,50,1000.0,inf,0.0,42,cos,jaccard,36.05883479118347,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,50,1000.0,inf,0.1,42,cos,jaccard,37.389283657073975,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,50,1000.0,inf,0.2,42,cos,jaccard,35.97833585739136,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,50,100.0,100.0,0.0,42,cos,jaccard,10.415321350097656,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,100.0,100.0,0.1,42,cos,jaccard,9.902826070785522,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,100.0,100.0,0.2,42,cos,jaccard,10.353061199188232,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,100.0,inf,0.0,42,cos,jaccard,10.345964908599854,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,100.0,inf,0.1,42,cos,jaccard,9.985007047653198,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,100.0,inf,0.2,42,cos,jaccard,10.311848640441896,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,50,inf,100.0,0.1,42,cos,jaccard,403.8908829689026,-0.116,225.622,3.8726,CenterParTree2,wine.zip
10,12,3,50,inf,100.0,0.2,42,cos,jaccard,414.72101736068726,-0.161,62.1881,3.7849,CenterParTree2,wine.zip
10,12,3,50,inf,20.0,0.1,42,cos,jaccard,369.9134228229522,-0.2942,25.6809,1.9004,CenterParTree2,wine.zip
10,12,3,50,inf,20.0,0.2,42,cos,jaccard,367.98769307136536,-0.1374,24.9665,0.7348,CenterParTree2,wine.zip
10,12,3,50,inf,inf,0.0,42,cos,jaccard,36.13960218429565,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
