,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
64,iris_y,ShallowTree,2.0,,,inf,20.0,0.007181167602539,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
65,iris_y,VarianceParTree,,,,1000.0,20.0,0.0341565608978271,0.4622,174.8188,0.8312,0.7236,0.4471,0.4686,0.5204,0.524,0.4265,0.6792,0.524,0.6811,,,,,,,,,,,,,5.0,3.0,,,,,,,8.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
66,iris_y,kmeans+dt,2.0,,,inf,20.0,0.0068256855010986,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
67,iris_y,kmodes,2.0,,,1000.0,100.0,0.0150003433227539,0.2002,26.8407,1.3341,0.4581,0.0633,0.107,0.1313,0.1391,0.0974,0.2434,0.1391,0.5271,Cao,11.0,300.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
68,iris_y,pyc_xmeans,,,,1000.0,20.0,0.0016326904296875,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
69,iris_y,skl_DBSCAN,,,,inf,20.0,0.0035631656646728,0.5437,197.8162,0.6764,0.7502,0.5149,0.524,0.5978,0.6009,0.477,0.812,0.6009,0.7365,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,10.0,correlation,4.0,,,,,,,,,,,,,,,,,
70,iris_y,skl_OPTICS,,,,1000.0,20.0,0.2637777328491211,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
71,iris_y,skl_agglomerativeClust,2.0,,,100.0,20.0,0.0007028579711914,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
72,iris_y,skl_birch,2.0,,,inf,20.0,0.002925157546997,0.577,240.2457,0.5917,0.763,0.5438,0.5991,0.69,0.6925,0.5453,0.9483,0.6925,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
73,iris_y,skl_bis_kmeans,2.0,,,100.0,20.0,0.0060033798217773,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,iris_y,skl_kmeans,2.0,,,1000.0,20.0,0.0059161186218261,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,wdbc_y,ExKMC,2.0,8.0,NONE,inf,20.0,0.018017292022705,0.3421,264.661,1.3214,0.8394,0.6766,0.3634,0.5596,0.5602,0.5503,0.5705,0.5602,0.8523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,wdbc_y,PrincipalParTree,,,,inf,20.0,0.0101900100708007,0.3283,246.1985,1.3561,0.8194,0.6361,0.3354,0.518,0.5186,0.508,0.5297,0.5186,0.8345,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,1.0,False,5.0,,,,,
77,wdbc_y,ShallowTree,2.0,,,1000.0,100.0,0.5625464916229248,0.3283,246.1985,1.3561,0.8194,0.6361,0.3354,0.518,0.5186,0.508,0.5297,0.5186,0.8345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
